Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac
2012,4,12,22,6,2012/12/22,VX,21171,VX,N854VA,337,11697,1169703,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33
2012,4,12,12,3,2012/12/12,HA,19690,HA,N476HA,341,12402,1240203,32402,ITO,"Hilo, HI",HI,15,Hawaii,2
2012,4,12,21,5,2012/12/21,FL,20437,FL,N149AT,343,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,11,28,3,2012/11/28,AA,19805,AA,N479AA,344,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41
2012,4,12,2,7,2012/12/2,VX,21171,VX,N528VA,345,11697,1169703,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33
2012,4,12,3,1,2012/12/3,FL,20437,FL,N955AT,346,12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22
2012,4,12,2,7,2012/12/2,WN,19393,WN,N916WN,347,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33
2012,4,12,28,5,2012/12/28,UA,19977,UA,N471UA,352,11697,1169703,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33
2012,4,12,12,3,2012/12/12,HA,19690,HA,N490HA,356,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2
2012,4,12,26,3,2012/12/26,VX,21171,VX,N838VA,360,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,17,1,2012/12/17,B6,20409,B6,N589JB,361,12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22
2012,4,12,14,5,2012/12/14,WN,19393,WN,N749SW,362,11884,1188402,31884,GEG,"Spokane, WA",WA,53,Washington,93
2012,4,12,5,3,2012/12/5,WN,19393,WN,N426WN,370,13796,1379601,32457,OAK,"Oakland, CA",CA,6,California,91
2012,4,12,25,2,2012/12/25,B6,20409,B6,N639JB,371,12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22
2012,4,12,4,2,2012/12/4,WN,19393,WN,N951WN,372,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
2012,4,12,29,6,2012/12/29,AA,19805,AA,N3DUAA,373,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74
2012,4,11,12,1,2012/11/12,AA,19805,AA,N437AA,374,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74
2012,4,12,14,5,2012/12/14,B6,20409,B6,N520JB,378,11697,1169703,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33
2012,4,12,1,6,2012/12/1,FL,20437,FL,N896AT,381,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33
2012,4,12,21,5,2012/12/21,UA,19977,UA,N471UA,385,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74
2012,4,12,31,1,2012/12/31,AS,19930,AS,N613AS,387,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91
2012,4,12,16,7,2012/12/16,AS,19930,AS,N619AS,388,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92
2012,4,12,12,3,2012/12/12,B6,20409,B6,N504JB,391,12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22
2012,4,12,19,3,2012/12/19,FL,20437,FL,N309AT,392,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,12,16,7,2012/12/16,WN,19393,WN,N733SA,398,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81
2012,4,12,11,2,2012/12/11,WN,19393,WN,N766SW,399,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
2012,4,12,6,4,2012/12/6,WN,19393,WN,N526SW,400,15016,1501603,31123,STL,"St. Louis, MO",MO,29,Missouri,64
2012,4,12,30,7,2012/12/30,FL,20437,FL,N933AT,401,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33
2012,4,12,12,3,2012/12/12,UA,19977,UA,N562UA,402,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93
2012,4,12,1,6,2012/12/1,FL,20437,FL,N920AT,403,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33
2012,4,12,17,1,2012/12/17,UA,19977,UA,N581UA,404,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33
2012,4,12,19,3,2012/12/19,WN,19393,WN,N487WN,405,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41
2012,4,12,13,4,2012/12/13,WN,19393,WN,N767SW,406,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
2012,4,12,5,3,2012/12/5,WN,19393,WN,N250WN,407,10140,1014002,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86
2012,4,12,25,2,2012/12/25,AA,19805,AA,N4YLAA,408,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41
2012,4,12,25,2,2012/12/25,WN,19393,WN,N376SW,410,13198,1319801,33198,MCI,"Kansas City, MO",MO,29,Missouri,64
2012,4,12,19,3,2012/12/19,AA,19805,AA,N5DAAA,411,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33
2012,4,12,8,6,2012/12/8,VX,21171,VX,N638VA,413,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22
2012,4,12,16,7,2012/12/16,FL,20437,FL,N949AT,414,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41
2012,4,12,3,1,2012/12/3,FL,20437,FL,N318AT,415,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41
2012,4,12,14,5,2012/12/14,WN,19393,WN,N462WN,416,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81
2012,4,12,18,2,2012/12/18,AA,19805,AA,N564AA,417,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74
2012,4,12,24,1,2012/12/24,AA,19805,AA,N470AA,419,11267,1126702,31267,DAY,"Dayton, OH",OH,39,Ohio,44
2012,4,12,5,3,2012/12/5,DL,19790,DL,N692DL,420,14843,1484303,34819,SJU,"San Juan, PR",PR,72,Puerto Rico,3
2012,4,12,13,4,2012/12/13,WN,19393,WN,N350SW,423,10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54
2012,4,12,28,5,2012/12/28,UA,19977,UA,N810UA,425,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38
2012,4,11,15,4,2012/11/15,AA,19805,AA,N3GTAA,426,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74
2012,4,12,5,3,2012/12/5,AA,19805,AA,N520AA,428,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74
2012,4,12,24,1,2012/12/24,FL,20437,FL,N337AT,429,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
2012,4,11,1,4,2012/11/1,AA,19805,AA,N584AA,430,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74
2012,4,12,16,7,2012/12/16,UA,19977,UA,N465UA,431,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74
2012,4,12,11,2,2012/12/11,B6,20409,B6,N506JB,432,14986,1498603,34986,SRQ,"Sarasota/Bradenton, FL",FL,12,Florida,33
2012,4,12,18,2,2012/12/18,FL,20437,FL,N947AT,437,13342,1334205,33342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45
2012,4,12,28,5,2012/12/28,WN,19393,WN,N254WN,439,12448,1244803,32448,JAN,"Jackson/Vicksburg, MS",MS,28,Mississippi,53
2012,4,12,1,6,2012/12/1,AA,19805,AA,N3FDAA,440,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74
2012,4,12,26,3,2012/12/26,AA,19805,AA,N555AA,446,10140,1014002,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86
2012,4,12,19,3,2012/12/19,UA,19977,UA,N849UA,449,14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38
2012,4,12,16,7,2012/12/16,WN,19393,WN,N948WN,450,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92
2012,4,11,23,5,2012/11/23,AA,19805,AA,N5FLAA,452,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33
2012,4,12,13,4,2012/12/13,WN,19393,WN,N782SA,454,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81
2012,4,12,1,6,2012/12/1,FL,20437,FL,N919AT,456,14027,1402702,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33
2012,4,12,2,7,2012/12/2,AA,19805,AA,N3FWAA,457,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74
2012,4,12,3,1,2012/12/3,WN,19393,WN,N716SW,458,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91
2012,4,12,27,4,2012/12/27,B6,20409,B6,N503JB,460,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33
2012,4,12,16,7,2012/12/16,AA,19805,AA,N3CAAA,461,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63
2012,4,12,11,2,2012/12/11,B6,20409,B6,N566JB,463,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13
2012,4,12,31,1,2012/12/31,WN,19393,WN,N242WN,464,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,11,2,2012/12/11,UA,19977,UA,N459UA,465,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93
2012,4,12,20,4,2012/12/20,WN,19393,WN,N201LV,466,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85
2012,4,12,6,4,2012/12/6,UA,19977,UA,N445UA,469,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21
2012,4,12,24,1,2012/12/24,UA,19977,UA,N442UA,477,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33
2012,4,12,10,1,2012/12/10,FL,20437,FL,N994AT,478,14193,1419303,33728,PNS,"Pensacola, FL",FL,12,Florida,33
2012,4,12,27,4,2012/12/27,UA,19977,UA,N827UA,479,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
2012,4,12,14,5,2012/12/14,AA,19805,AA,N3BEAA,480,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91
2012,4,12,22,6,2012/12/22,US,20355,US,N542UW,482,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
2012,4,12,20,4,2012/12/20,WN,19393,WN,N934WN,483,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33
2012,4,12,19,3,2012/12/19,UA,19977,UA,N530UA,484,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91
2012,4,12,29,6,2012/12/29,US,20355,US,N625AW,486,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81
2012,4,12,24,1,2012/12/24,AA,19805,AA,N591AA,487,13342,1334205,33342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45
2012,4,12,18,2,2012/12/18,FL,20437,FL,N992AT,489,14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38
2012,4,12,12,3,2012/12/12,FL,20437,FL,N939AT,491,14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38
2012,4,12,30,7,2012/12/30,FL,20437,FL,N989AT,493,14576,1457604,34576,ROC,"Rochester, NY",NY,36,New York,22
2012,4,12,9,7,2012/12/9,FL,20437,FL,N943AT,494,14576,1457604,34576,ROC,"Rochester, NY",NY,36,New York,22
2012,4,12,6,4,2012/12/6,AA,19805,AA,N4WYAA,496,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41
