Fulfilment,Sales Channel ,ship-service-level,SKU,Qty,currency,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,JNE3709-DR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0346-SET-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3434-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3710-DR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3431-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0231-SKD-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3366-KR-1053-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET369-KR-NP-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0280-SKD-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0339-DR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0348-SET-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET402-KR-NP-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0003-SET-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0041-SET-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3619-KR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0147-SET-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3487-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0413-DR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3798-KR-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0377-SKD-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3790-KR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0041-SET-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3860-DR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,NW012-TP-PJ-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET355-KR-PP-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0182-SET-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET240-KR-PP-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3928-KR-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3638-KR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET403-KR-NP-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET339-KR-NP-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3706-DR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3905-DR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3568-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET278-KR-NP-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET183-KR-DH-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3710-DR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET183-KR-DH-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-A-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0126-SKD-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET286-KR-NP-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET376-KR-NP-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0210-DR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3894-TP-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0377-SKD-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3658-TP-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3645-TP-N-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3861-DR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0181-TP-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3801-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET320-KR-NP-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET219-KR-PP-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET333-KR-DPT-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3749-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0157-DR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3431-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0281-SKD-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-A-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0251-SKD-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3568-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3861-DR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3860-DR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET341-KR-NP-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3670-TU-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3835-KR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3373-KR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE2009-KR-310-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3784-KR-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3403-KR-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3665-TP-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET343-KR-NP-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,PJNE3568-KR-N-5XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3790-KR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3674-TU-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3468-KR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,PJNE3291-KR-4XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0418-TP-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,AN213-BROWN-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET333-KR-DPT-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3904-DR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3764-KR-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET293-KR-NP-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3265-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0148-SET-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0236-SKD-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0280-SKD-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET320-KR-NP-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET306-KR-PP-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET183-KR-DH-M,1,INR,IN,Easy Ship,False
