Fulfilment,Sales Channel ,ship-service-level,SKU,currency,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,J0348-SET-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET402-KR-NP-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0003-SET-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0041-SET-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3619-KR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0147-SET-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3487-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0413-DR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3798-KR-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0377-SKD-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3790-KR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0341-DR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0041-SET-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3860-DR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,NW012-TP-PJ-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET355-KR-PP-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0182-SET-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET240-KR-PP-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3928-KR-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3638-KR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET403-KR-NP-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET339-KR-NP-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3706-DR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3905-DR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3568-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET278-KR-NP-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET183-KR-DH-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3710-DR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET183-KR-DH-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-A-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0126-SKD-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET286-KR-NP-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET376-KR-NP-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0210-DR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3894-TP-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0377-SKD-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3658-TP-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3645-TP-N-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3861-DR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0181-TP-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3801-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET320-KR-NP-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET219-KR-PP-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET333-KR-DPT-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3749-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0157-DR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3431-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0281-SKD-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-A-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0251-SKD-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3568-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3861-DR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3860-DR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET341-KR-NP-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3670-TU-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3835-KR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3373-KR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE2009-KR-310-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3784-KR-XS,INR,IN,Easy Ship,False
