index,Fulfilment,Sales Channel ,ship-service-level,currency,ship-country,fulfilled-by,Unnamed: 22
50036,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50042,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50048,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50060,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50061,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50071,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50072,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50081,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50091,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50095,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50099,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50102,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50113,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50118,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50126,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50137,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50139,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50142,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50146,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50153,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50161,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50171,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50174,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50179,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50181,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50183,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50188,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50189,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50194,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50195,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50198,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50217,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
